"","HUM","TEM","NOX","CO","UV","label"
"1",57,20,4,40,223,"1"
"3",57,20,3,33,222,"1"
"6",57,20,3,27,223,"1"
"7",57,20,3,27,223,"1"
"9",57,20,3,8,223,"1"
"10",57,20,3,29,223,"1"
"12",56,20,3,28,223,"1"
"13",56,20,3,27,222,"1"
"14",56,20,3,27,223,"1"
"15",56,20,3,26,222,"1"
"17",56,20,3,26,223,"1"
"18",56,20,2,25,222,"1"
"19",56,20,3,25,223,"1"
"22",56,20,3,25,223,"1"
"23",56,20,2,25,223,"1"
"25",56,20,2,25,223,"1"
"26",55,20,3,25,223,"1"
"27",55,20,3,25,223,"1"
"28",56,20,3,25,223,"1"
"29",56,20,3,25,223,"1"
"30",64,18,3,8,222,"1"
"33",64,17,3,31,222,"1"
"35",64,17,3,25,221,"1"
"36",64,17,2,24,222,"1"
"37",64,17,7,23,222,"1"
"38",64,17,7,23,222,"1"
"39",64,17,5,23,221,"1"
"40",64,17,4,22,222,"1"
"41",64,17,4,23,222,"1"
"42",65,17,4,23,221,"1"
"43",65,17,4,23,221,"1"
"44",65,17,4,23,221,"1"
"45",65,17,4,23,221,"1"
"46",65,17,4,22,222,"1"
"47",65,17,4,22,222,"1"
"48",66,17,4,23,221,"1"
"49",65,17,4,23,221,"1"
"51",65,17,4,22,222,"1"
"52",65,17,4,22,222,"1"
"54",65,17,4,22,222,"1"
"55",65,17,3,22,221,"1"
"56",65,17,3,22,221,"1"
"57",65,17,3,22,222,"1"
"58",65,17,3,22,221,"1"
"60",65,17,3,23,222,"1"
"61",66,17,3,22,222,"1"
"62",65,17,3,22,222,"1"
"63",65,17,3,23,222,"1"
"64",65,17,3,22,222,"1"
"66",65,17,3,22,221,"1"
"70",65,18,3,22,222,"1"
"71",65,18,3,22,222,"1"
"72",65,18,3,22,222,"1"
"73",65,17,3,23,222,"1"
"74",65,18,3,22,222,"1"
"75",65,18,3,22,222,"1"
"76",65,18,3,22,222,"1"
"77",65,18,3,22,222,"1"
"78",64,18,3,21,222,"1"
"79",64,18,3,21,222,"1"
"80",62,20,3,10,227,"1"
"81",59,21,3,73,223,"1"
"82",58,20,3,75,223,"1"
"84",59,20,1,36,223,"1"
"85",59,20,3,31,222,"1"
"86",58,19,2,29,222,"1"
"90",61,18,2,26,221,"1"
"91",62,18,2,25,222,"1"
"92",63,18,2,25,222,"1"
"93",63,17,2,25,222,"1"
"94",64,17,2,24,225,"1"
"95",64,17,2,25,224,"1"
"96",64,17,2,24,224,"1"
"97",64,17,2,24,224,"1"
"98",64,17,2,24,224,"1"
"99",65,17,3,24,223,"1"
"100",65,17,3,24,222,"1"
"101",65,17,3,25,221,"1"
"102",66,17,3,25,221,"1"
"103",66,17,3,25,223,"1"
"105",67,17,3,24,229,"1"
"108",66,17,3,24,226,"1"
"109",66,17,3,24,226,"1"
"110",65,17,3,24,226,"1"
"112",65,17,3,24,226,"1"
"113",66,17,3,24,226,"1"
"115",67,16,3,24,226,"1"
"116",67,16,2,24,226,"1"
"117",67,16,3,24,226,"1"
"119",68,16,3,24,226,"1"
"120",68,16,4,23,226,"1"
"121",68,16,3,24,226,"1"
"122",68,16,3,23,226,"1"
"123",68,16,3,24,226,"1"
"124",68,16,3,24,226,"1"
"125",69,16,3,24,226,"1"
"127",69,16,4,24,226,"1"
"128",69,16,4,23,226,"1"
"129",69,16,4,24,226,"1"
"130",69,16,5,23,226,"1"
"131",70,16,5,23,226,"1"
"133",70,16,5,23,226,"1"
"134",70,16,2,23,226,"1"
"135",70,16,2,23,226,"1"
"136",71,15,2,23,226,"1"
"138",71,15,3,23,226,"1"
"140",71,15,3,23,226,"1"
"141",71,16,3,23,226,"1"
"142",71,15,3,23,226,"1"
"143",71,15,3,23,226,"1"
"144",71,15,3,23,226,"1"
"146",72,15,3,23,231,"1"
"147",72,15,3,24,227,"1"
"148",72,15,3,25,230,"1"
"149",73,16,2,25,229,"1"
"150",73,16,2,25,229,"1"
"152",72,16,2,26,229,"1"
"153",71,17,2,26,229,"1"
"154",71,17,2,26,229,"1"
"155",70,17,2,26,229,"1"
"156",70,17,2,26,229,"1"
"157",69,17,2,26,229,"1"
"158",69,17,2,26,229,"1"
"159",68,17,2,26,229,"1"
"160",68,17,2,26,229,"1"
"161",67,18,2,27,229,"1"
"162",67,18,2,28,230,"1"
"163",67,18,2,30,229,"1"
"164",66,18,2,30,229,"1"
"165",66,18,2,33,229,"1"
"166",66,18,2,134,229,"1"
"167",64,19,2,276,229,"1"
"168",64,20,2,260,229,"1"
"169",64,19,2,230,229,"1"
"170",64,19,2,198,229,"1"
"171",64,19,2,226,229,"1"
"172",63,19,4,175,229,"1"
"174",63,19,3,215,230,"1"
"175",63,19,3,194,230,"1"
"176",63,19,3,191,230,"1"
"177",66,17,3,121,225,"1"
"178",66,17,3,125,225,"1"
"180",66,17,3,47,224,"1"
"183",67,17,3,44,227,"1"
"184",67,17,3,40,227,"1"
"185",67,17,3,35,230,"1"
"186",67,17,3,35,228,"1"
"187",67,17,3,36,228,"1"
"188",68,17,3,38,225,"1"
"191",51,24,3,34,296,"1"
"192",54,25,3,32,296,"1"
"194",53,26,3,28,297,"1"
"196",44,26,3,26,299,"1"
"197",43,27,2,26,301,"1"
"198",43,27,2,24,300,"1"
"199",39,28,1,24,299,"1"
"200",33,27,3,24,301,"1"
"201",31,28,3,24,302,"1"
"203",42,28,2,23,301,"1"
"204",33,28,2,23,304,"1"
"205",32,27,2,23,304,"1"
"207",41,27,2,23,306,"1"
"208",41,27,2,23,306,"1"
"209",42,26,2,22,304,"1"
"210",41,26,2,23,308,"1"
"211",44,26,2,23,313,"1"
"212",44,26,2,23,312,"1"
"213",45,26,2,22,312,"1"
"214",39,26,2,22,314,"1"
"215",42,26,2,22,315,"1"
"216",42,26,2,22,320,"1"
"217",42,26,2,22,326,"1"
"218",42,27,2,23,326,"1"
"221",40,29,2,23,328,"1"
"223",27,30,2,24,336,"1"
"224",37,30,2,24,332,"1"
"225",37,30,2,24,394,"1"
"226",38,30,2,24,360,"1"
"227",27,30,2,23,364,"1"
"228",15,32,2,23,360,"1"
"229",14,32,2,23,338,"1"
"231",15,31,2,23,330,"1"
"232",15,31,2,23,330,"1"
"233",27,31,2,23,328,"1"
"234",16,30,2,22,325,"1"
"235",16,30,2,23,325,"1"
"236",16,30,2,23,324,"1"
"237",16,30,2,23,324,"1"
"239",16,30,2,23,335,"1"
"241",23,29,2,22,330,"1"
"242",16,29,2,22,327,"1"
"243",29,29,2,22,320,"1"
"244",27,29,2,22,317,"1"
"245",27,29,2,22,319,"1"
"246",30,29,2,22,316,"1"
"247",33,29,2,22,316,"1"
"250",16,30,2,22,320,"1"
"251",62,21,2,35,219,"1"
"252",58,20,2,22,217,"1"
"253",65,17,2,11,218,"1"
"254",65,17,2,19,217,"1"
"255",67,17,2,18,217,"1"
"256",69,16,2,18,217,"1"
"257",71,16,7,18,217,"1"
"258",72,16,7,18,217,"1"
"259",72,16,7,18,217,"1"
"263",76,15,2,18,217,"1"
"265",78,15,2,18,217,"1"
"266",79,15,2,18,217,"1"
"267",81,15,2,18,217,"1"
"268",79,15,2,17,217,"1"
"269",79,15,2,17,217,"1"
"270",80,15,2,17,217,"1"
"272",78,15,2,18,217,"1"
"273",78,15,2,17,217,"1"
"274",79,15,2,18,217,"1"
"275",79,15,2,17,217,"1"
"276",78,15,2,18,217,"1"
"278",77,15,2,17,217,"1"
"279",78,15,2,17,217,"1"
"280",79,15,2,17,217,"1"
"281",81,15,2,17,217,"1"
"282",78,15,2,18,217,"1"
"283",78,15,2,17,217,"1"
"284",79,15,2,17,217,"1"
"285",79,15,2,17,217,"1"
"286",81,15,2,17,217,"1"
"287",82,15,2,17,217,"1"
"288",82,15,2,17,217,"1"
"289",79,15,2,17,217,"1"
"290",79,15,2,17,217,"1"
"291",79,15,2,17,217,"1"
"292",82,15,2,17,217,"1"
"293",82,15,2,17,217,"1"
"295",86,17,3,22,225,"1"
"298",74,16,5,19,224,"1"
"299",74,16,5,19,224,"1"
"301",74,15,5,19,224,"1"
"302",74,15,5,19,224,"1"
"303",75,15,6,19,225,"1"
"304",76,14,6,18,225,"1"
"305",77,14,7,19,224,"1"
"306",77,14,6,19,225,"1"
"307",77,14,5,19,225,"1"
"308",77,14,4,19,225,"1"
"309",78,14,6,19,225,"1"
