HUM;TEM;NOX;CO;UV;label
57;20;4;40;223;1
57;20;3;35;222;1
57;20;3;33;222;1
57;20;3;30;223;1
57;20;3;27;223;1
57;20;3;27;223;1
57;20;3;27;223;1
57;20;3;26;223;1
57;20;3;8;223;1
57;20;3;29;223;1
57;20;3;30;223;1
56;20;3;28;223;1
56;20;3;27;222;1
56;20;3;27;223;1
56;20;3;26;222;1
56;20;3;25;223;1
56;20;3;26;223;1
56;20;2;25;222;1
56;20;3;25;223;1
56;20;3;25;223;1
56;20;3;25;223;1
56;20;3;25;223;1
56;20;2;25;223;1
56;20;2;25;223;1
56;20;2;25;223;1
55;20;3;25;223;1
55;20;3;25;223;1
56;20;3;25;223;1
56;20;3;25;223;1
64;18;3;8;222;1
64;18;3;30;222;1
64;18;3;35;222;1
64;17;3;31;222;1
64;17;3;27;222;1
64;17;3;25;221;1
64;17;2;24;222;1
64;17;7;23;222;1
64;17;7;23;222;1
64;17;5;23;221;1
64;17;4;22;222;1
64;17;4;23;222;1
65;17;4;23;221;1
65;17;4;23;221;1
65;17;4;23;221;1
65;17;4;23;221;1
65;17;4;22;222;1
65;17;4;22;222;1
66;17;4;23;221;1
65;17;4;23;221;1
65;17;4;22;222;1
65;17;4;22;222;1
65;17;4;22;222;1
65;17;4;22;222;1
65;17;4;22;222;1
65;17;3;22;221;1
65;17;3;22;221;1
65;17;3;22;222;1
65;17;3;22;221;1
65;17;3;23;222;1
65;17;3;23;222;1
66;17;3;22;222;1
65;17;3;22;222;1
65;17;3;23;222;1
65;17;3;22;222;1
65;17;3;22;222;1
65;17;3;22;221;1
65;17;3;22;222;1
65;17;3;23;222;1
65;17;3;22;222;1
65;18;3;22;222;1
65;18;3;22;222;1
65;18;3;22;222;1
65;17;3;23;222;1
65;18;3;22;222;1
65;18;3;22;222;1
65;18;3;22;222;1
65;18;3;22;222;1
64;18;3;21;222;1
64;18;3;21;222;1
62;20;3;10;227;1
59;21;3;73;223;1
58;20;3;75;223;1
58;20;3;49;222;1
59;20;1;36;223;1
59;20;3;31;222;1
58;19;2;29;222;1
59;19;2;27;222;1
59;19;2;28;222;1
60;19;2;27;221;1
61;18;2;26;221;1
62;18;2;25;222;1
63;18;2;25;222;1
63;17;2;25;222;1
64;17;2;24;225;1
64;17;2;25;224;1
64;17;2;24;224;1
64;17;2;24;224;1
64;17;2;24;224;1
65;17;3;24;223;1
65;17;3;24;222;1
65;17;3;25;221;1
66;17;3;25;221;1
66;17;3;25;223;1
67;17;3;24;227;1
67;17;3;24;229;1
66;17;3;24;227;1
66;17;3;24;226;1
66;17;3;24;226;1
66;17;3;24;226;1
65;17;3;24;226;1
65;17;3;24;226;1
65;17;3;24;226;1
66;17;3;24;226;1
67;16;3;24;226;1
67;16;3;24;226;1
67;16;2;24;226;1
67;16;3;24;226;1
68;16;3;24;226;1
68;16;3;24;226;1
68;16;4;23;226;1
68;16;3;24;226;1
68;16;3;23;226;1
68;16;3;24;226;1
68;16;3;24;226;1
69;16;3;24;226;1
69;16;4;23;226;1
69;16;4;24;226;1
69;16;4;23;226;1
69;16;4;24;226;1
69;16;5;23;226;1
70;16;5;23;226;1
70;16;5;23;226;1
70;16;5;23;226;1
70;16;2;23;226;1
70;16;2;23;226;1
71;15;2;23;226;1
71;15;2;23;226;1
71;15;3;23;226;1
71;16;3;23;226;1
71;15;3;23;226;1
71;16;3;23;226;1
71;15;3;23;226;1
71;15;3;23;226;1
71;15;3;23;226;1
71;15;3;23;226;1
72;15;3;23;231;1
72;15;3;24;227;1
72;15;3;25;230;1
73;16;2;25;229;1
73;16;2;25;229;1
73;16;2;25;229;1
72;16;2;26;229;1
71;17;2;26;229;1
71;17;2;26;229;1
70;17;2;26;229;1
70;17;2;26;229;1
69;17;2;26;229;1
69;17;2;26;229;1
68;17;2;26;229;1
68;17;2;26;229;1
67;18;2;27;229;1
67;18;2;28;230;1
67;18;2;30;229;1
66;18;2;30;229;1
66;18;2;33;229;1
66;18;2;134;229;1
64;19;2;276;229;1
64;20;2;260;229;1
64;19;2;230;229;1
64;19;2;198;229;1
64;19;2;226;229;1
63;19;4;175;229;1
63;19;4;203;230;1
63;19;3;215;230;1
63;19;3;194;230;1
63;19;3;191;230;1
66;17;3;121;225;1
66;17;3;125;225;1
66;17;3;68;225;1
66;17;3;47;224;1
66;17;3;43;228;1
66;17;3;52;227;1
67;17;3;44;227;1
67;17;3;40;227;1
67;17;3;35;230;1
67;17;3;35;228;1
67;17;3;36;228;1
68;17;3;38;225;1
53;23;3;55;297;1
54;24;3;40;297;1
51;24;3;34;296;1
54;25;3;32;296;1
55;25;3;30;296;1
53;26;3;28;297;1
49;26;3;26;298;1
44;26;3;26;299;1
43;27;2;26;301;1
43;27;2;24;300;1
39;28;1;24;299;1
33;27;3;24;301;1
31;28;3;24;302;1
30;28;2;24;302;1
42;28;2;23;301;1
33;28;2;23;304;1
32;27;2;23;304;1
31;27;2;23;305;1
41;27;2;23;306;1
41;27;2;23;306;1
42;26;2;22;304;1
41;26;2;23;308;1
44;26;2;23;313;1
44;26;2;23;312;1
45;26;2;22;312;1
39;26;2;22;314;1
42;26;2;22;315;1
42;26;2;22;320;1
42;26;2;22;326;1
42;27;2;23;326;1
42;28;2;22;328;1
39;28;2;23;327;1
40;29;2;23;328;1
38;30;2;23;328;1
27;30;2;24;336;1
37;30;2;24;332;1
37;30;2;24;394;1
38;30;2;24;360;1
27;30;2;23;364;1
15;32;2;23;360;1
14;32;2;23;338;1
15;31;2;23;338;1
15;31;2;23;330;1
15;31;2;23;330;1
27;31;2;23;328;1
16;30;2;22;325;1
16;30;2;23;325;1
16;30;2;23;324;1
16;30;2;23;324;1
18;30;2;22;322;1
16;30;2;23;335;1
22;29;2;22;352;1
23;29;2;22;330;1
16;29;2;22;327;1
29;29;2;22;320;1
27;29;2;22;317;1
27;29;2;22;319;1
30;29;2;22;316;1
33;29;2;22;316;1
28;30;2;22;320;1
29;30;3;22;313;1
16;30;2;22;320;1
62;21;2;35;219;1
58;20;2;22;217;1
65;17;2;11;218;1
65;17;2;19;217;1
67;17;2;18;217;1
69;16;2;18;217;1
71;16;7;18;217;1
72;16;7;18;217;1
72;16;7;18;217;1
73;16;6;18;217;1
74;15;2;18;217;1
75;15;2;17;217;1
76;15;2;18;217;1
76;15;2;18;217;1
78;15;2;18;217;1
79;15;2;18;217;1
81;15;2;18;217;1
79;15;2;17;217;1
79;15;2;17;217;1
80;15;2;17;217;1
78;15;2;18;217;1
78;15;2;18;217;1
78;15;2;17;217;1
79;15;2;18;217;1
79;15;2;17;217;1
78;15;2;18;217;1
78;15;2;17;217;1
77;15;2;17;217;1
78;15;2;17;217;1
79;15;2;17;217;1
81;15;2;17;217;1
78;15;2;18;217;1
78;15;2;17;217;1
79;15;2;17;217;1
79;15;2;17;217;1
81;15;2;17;217;1
82;15;2;17;217;1
82;15;2;17;217;1
79;15;2;17;217;1
79;15;2;17;217;1
79;15;2;17;217;1
82;15;2;17;217;1
82;15;2;17;217;1
87;17;2;6;225;1
86;17;3;22;225;1
78;17;4;19;224;1
76;16;4;19;224;1
74;16;5;19;224;1
74;16;5;19;224;1
74;15;5;19;224;1
74;15;5;19;224;1
74;15;5;19;224;1
75;15;6;19;225;1
76;14;6;18;225;1
77;14;7;19;224;1
77;14;6;19;225;1
77;14;5;19;225;1
77;14;4;19;225;1
78;14;6;19;225;1
78;14;3;19;225;1
78;14;2;19;225;1
78;14;6;19;225;1
78;14;4;19;225;1
78;14;4;19;224;1
78;14;4;19;225;1
78;14;4;18;225;1
78;14;4;18;225;1
78;14;4;18;225;1
78;14;4;19;225;1
78;14;3;19;224;1
78;14;3;19;224;1
78;14;2;19;224;1
78;14;3;19;224;1
78;14;4;19;224;1
78;14;4;19;224;1
78;14;3;19;224;1
79;14;4;18;224;1
79;14;33;18;225;1
79;14;3;19;224;1
79;14;3;19;224;1
79;14;3;19;224;1
79;14;3;19;225;1
78;14;3;20;225;1
78;14;3;19;225;1
78;14;3;18;225;1
78;14;3;19;224;1
78;14;3;19;225;1
78;14;3;19;225;1
78;14;3;18;225;1
78;14;3;18;225;1
79;14;3;18;225;1
79;14;3;19;225;1
79;14;3;19;224;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;26;225;1
79;14;3;21;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;3;19;225;1
79;14;2;19;225;1
79;14;2;19;225;1
79;14;2;19;225;1
